Name;Effekt / Value;News-Text
Farmers Club;Scouting +1 Level kostenlos;Ein örtlicher Landwirt hat beim Pflügen mehr Talente entdeckt als eure komplette Scoutingabteilung. Das Scouting steigt um 1 Level.
Ausländisches Investment;+50 Mio. in die Kasse;Ein internationaler Investor hat den Vereinsnamen zwar falsch ausgesprochen, aber die Überweisung war korrekt. +50 Mio.
Talent-Durchbruch;+1 Talentstern für einen beliebigen Spieler;Ein Spieler hat im Training plötzlich verstanden, dass der Ball rund ist. Füge einem beliebigen Spieler +1 Talentstern hinzu.
Neuer Trikotsponsor;+30 Mio. in die Kasse;Ein Sponsor möchte unbedingt auf eure Brust. Hauptsache sichtbar, Hauptsache groß. +30 Mio.
Zusätzliches Investment;+40 Mio. in die Kasse;Der Vorstand hat irgendwo noch ein Sparbuch gefunden. Niemand fragt nach, alle freuen sich. +40 Mio.
Olympische Spiele;Stadion +1 Level kostenlos;Die Stadt träumt von Olympia und ihr profitiert vom Größenwahn. Das Stadion steigt kostenlos um 1 Level.
Neue VIP-Lounge;+20 Mio. in die Kasse;Die Logen sind jetzt so bequem, dass Sponsoren freiwillig länger bleiben. +20 Mio.
Player Walk-In;Kostenloser Spieler-Draw und optional kostenlose Verpflichtung;Ein Spieler läuft einfach ins Vereinsheim und fragt, ob hier zufällig noch jemand gebraucht wird. Ziehe kostenlos einen Spieler und verpflichte ihn optional gratis.
Neue Jugendakademie;Training +1 Level kostenlos;Die Jugendabteilung bekommt endlich mehr als zwei Hütchen und einen platten Ball. Training steigt kostenlos um 1 Level.
Namensrechte der Tribüne;+10 Mio. in die Kasse;Die Gegengerade heißt jetzt offiziell „Autohaus-Müller-Erlebniswall“. Klingt wild, bringt aber Geld. +10 Mio.
Manager of the Year;Kostenloser Staff-Draw + kostenloses Signing;Die Presse nennt dich ein Genie. Niemand weiß warum, aber ein Mitarbeiter unterschreibt kostenlos.
Pokalprämie;+25 Mio. in die Kasse;Ihr seid im Pokal weitergekommen, weil der Gegner die Trikots vergessen hat. Egal. Prämie ist Prämie. +25 Mio.
Trainingslager Wunder;+1 Trainingseinheit zusätzlich;Im Trainingslager wurde tatsächlich trainiert und nicht nur Tischtennis gespielt. Erhalte eine zusätzliche Trainingseinheit.
Fanmarsch eskaliert positiv;+1 Statuslevel;Die Fans haben einen Marsch organisiert, der so gut aussah, dass sogar die Lokalzeitung aus Versehen begeistert war. +1 Statuslevel.
Glücksgriff auf dem Transfermarkt;Nächster Spieler kostet 10 Mio. weniger;Der Berater hat sich verrechnet, der Spieler merkt es nicht. Der nächste Transfer kostet 10 Mio. weniger.
Taktiktafel-Moment;+2 auf einen beliebigen Mannschaftsbereich für das nächste Spiel;Der Co-Trainer malt drei Pfeile auf die Tafel und plötzlich ergibt alles Sinn. +2 auf Defence, Midfield oder Attack im nächsten Spiel.
Kabinenansprache sitzt;Bei Unentschieden im nächsten Spiel: +1 auf Würfelwurf;Die Ansprache war so emotional, dass selbst der Zeugwart kurz eingewechselt werden wollte. Bei einem Unentschieden im nächsten Spiel erhältst du +1 auf den entscheidenden Würfelwurf.
Jahrhunderttalent entdeckt;Ziehe 1 Talent kostenlos;Ein Jugendspieler schießt beim Aufwärmen den Ball durch ein offenes Fenster direkt in die Vertragsmappe. Ziehe ein Talent kostenlos.
;;
;;
;;
Name;Effekt / Value;News-Text
Gambling Problems;Ein Mittelfeldspieler fällt für den Rest der Saison aus;Ein Mittelfeldspieler wurde häufiger in der Spielo gesehen als im Kraftraum. Er fällt für den Rest der Saison aus.
Zu lang im Club;Bester Mittelfeldspieler fällt für das nächste Spiel aus;Der beste Mittelfeldspieler hat die Mannschaftskasse „verwaltet“ und ist noch immer verkatert. Er fällt für das nächste Spiel aus.
Platzsturm beim Heimspiel;-10 Mio.;Die Fans wollten Nähe zur Mannschaft zeigen. Leider direkt auf dem Spielfeld. Sicherheitskosten: -10 Mio.
Lebensmittelvergiftung;Rechter Stürmer fällt nächstes Spiel aus;Der rechte Stürmer hat am Imbissstand mutig den letzten Mettigel genommen. Er fällt für das nächste Spiel aus.
Rote Karte für Trainer;Keine Änderung der Aufstellung im nächsten Spiel möglich;Der Trainer hat dem Schiedsrichter „konstruktives Feedback“ gegeben. Für das nächste Spiel darf die Aufstellung nicht geändert werden.
Gemeinde-Rückzahlung;-15 Mio.;Die Gemeinde findet, dass es dem Club „offensichtlich sehr gut geht“. Bitte einmal solidarisch zahlen: -15 Mio.
Magen-Darm;Rechter Mittelfeldspieler fällt nächstes Spiel aus;Der rechte Mittelfeldspieler hat das falsche Wasser getrunken. Oder den falschen Döner. Jedenfalls fällt er aus.
Duschunfall;Rechter Verteidiger fällt nächstes Spiel aus;Der rechte Verteidiger ist in der Dusche ausgerutscht. Klassischer Kreisliga-Endgegner: nasse Fliesen.
Illegaler Jugendtransfer;"-20 Mio.; diese Offseason kein Scouting und keine Transfers; dafür doppelte Trainingseinheiten";Der Scout hat „Geburtsurkunde prüfen“ als optional verstanden. -20 Mio. Strafe, keine Transfers und kein Scouting in dieser Offseason. Dafür doppelte Trainingseinheiten.
Taktikfehler;-2 Defence im nächsten Spiel;Der Trainer wollte modern spielen lassen. Am Ende stand der Innenverteidiger auf der Zehn. -2 Defence im nächsten Spiel.
Länderspielpause;Linker Stürmer fehlt nächstes Spiel;Der linke Stürmer wurde überraschend nominiert. Nationalstolz schön und gut, aber euch fehlt er im nächsten Spiel.
Big Head;Zuletzt trainierter Spieler verliert 1 Stern;Der zuletzt trainierte Spieler hat sein eigenes Highlight-Video gesehen. Seitdem geht nichts mehr. Er verliert 1 Stern.
Zuschauer kommen nicht mehr;-30 Mio.;Die Kalkulation war optimistischer als der Spielstil. Weniger Zuschauer, weniger Einnahmen: -30 Mio.
Sicherheitslücke im Konzept;Stadion-Einkommen diese Saison nur wie Level 1;Die Sicherheitsstandards im Stadion bestehen aus Absperrband und Hoffnung. Stadion-Einkommen zählt diese Saison nur als Level 1.
