Karte;Zeitpunkt;Effekt;Lustiger Text
Captain-Wechsel;Before Match / nach Aufstellungs-Lock;Du darfst nach dem Aufstellungs-Lock deinen Captain Boost ändern.;Der eigentliche Kapitän hat die Seitenwahl verloren und direkt die Autorität mit abgegeben. Neuer Spielführer, neues Chaos.
Taktischer Vorteil;Before Match / nach Aufstellungs-Lock;Du hast den Gegner ausspioniert. Ein beliebiges Drittel erhält +2.;Der Praktikant wurde mit Sonnenbrille und Notizblock beim gegnerischen Training gesehen. Komplett unauffällig.
Derby Day;Before Match / nach Aufstellungs-Lock;Alle Zusatzeffekte fallen für beide Teams weg: Key Staff, Captain Boost, Secret Weapons usw.;Derby ist Derby. Taktik, Datenanalyse und Matchplan bleiben draußen. Heute zählt nur Puls, Rasen und schlechte Entscheidungen.
Taktischer Vorteil;Before Match / nach Aufstellungs-Lock;Du hast den Gegner ausspioniert. Ein beliebiges Drittel erhält +2.;Der Praktikant wurde mit Sonnenbrille und Notizblock beim gegnerischen Training gesehen. Komplett unauffällig.
Plan B;Before Match / nach Aufstellungs-Lock;Du darfst deine Aufstellung nach dem Lock nochmal ändern und neu einlocken.;Der Trainer zieht einen zerknitterten Zettel aus der Tasche. Keiner weiß, was draufsteht, aber plötzlich spielt der Linksverteidiger auf der Zehn.
Plan B;Before Match / nach Aufstellungs-Lock;Du darfst deine Aufstellung nach dem Lock nochmal ändern und neu einlocken.;Der Trainer zieht einen zerknitterten Zettel aus der Tasche. Keiner weiß, was draufsteht, aber plötzlich spielt der Linksverteidiger auf der Zehn.
Plan B;Before Match / nach Aufstellungs-Lock;Du darfst deine Aufstellung nach dem Lock nochmal ändern und neu einlocken.;Der Trainer zieht einen zerknitterten Zettel aus der Tasche. Keiner weiß, was draufsteht, aber plötzlich spielt der Linksverteidiger auf der Zehn.
Taktischer Vorteil;Before Match / nach Aufstellungs-Lock;Du hast den Gegner ausspioniert. Ein beliebiges Drittel erhält +2.;Der Praktikant wurde mit Sonnenbrille und Notizblock beim gegnerischen Training gesehen. Komplett unauffällig.
Derby Day;Before Match / nach Aufstellungs-Lock;Alle Zusatzeffekte fallen für beide Teams weg: Key Staff, Captain Boost, Secret Weapons usw.;Derby ist Derby. Taktik, Datenanalyse und Matchplan bleiben draußen. Heute zählt nur Puls, Rasen und schlechte Entscheidungen.
Manndeckung Spezial;Before Match / nach Aufstellungs-Lock;Wähle einen Verteidiger aus. Pro Stern dieses Verteidigers verliert der Gegner 2 Sterne im Angriff. Beispiel: 2-Sterne-Verteidiger = Gegner erhält -4 Angriff.;Dein Verteidiger klebt am Stürmer wie Kaugummi unter der Auswechselbank. Schön ist es nicht, aber effektiv.
Captain-Wechsel;Before Match / nach Aufstellungs-Lock;Du darfst nach dem Aufstellungs-Lock deinen Captain Boost ändern.;Der eigentliche Kapitän hat die Seitenwahl verloren und direkt die Autorität mit abgegeben. Neuer Spielführer, neues Chaos.
Dirty Tackle;Before Match / nachdem die Aufstellungen gezeigt wurden;Du darfst einen beliebigen gegnerischen Spieler für den Rest der Saison verletzen. Der Gegner muss seine Aufstellung neu machen.;Der Co-Trainer nennt es „robuste Zweikampfführung“. Der Schiedsrichter nennt es „bitte verlassen Sie das Vereinsgelände“.
Sieg oder Spielabbruch;Nach dem Spiel;Du hast zwei Versuche mit einem W6. Würfelst du eine 6, gewinnst du das Spiel nachträglich. Bei allem anderen bleibt es eine Niederlage.;Die Vereinsführung legt Protest ein. Begründung: „Der Ball war komisch, der Wind war unfair und überhaupt.“
VAR;Während des Spiels / nach einem Drittel;Beide Spieler müssen das zuletzt gespielte Drittel neu würfeln.;Drei Minuten Linienprüfung, acht Kameraeinstellungen und am Ende weiß keiner mehr, worum es eigentlich ging. Drittel neu würfeln.
Magic Ice Spray;Während des Spiels / nach einem Drittel;Ein verletzter Spieler wird geheilt. Gilt nur für Auswirkungen nach dem Spiel.;Der Physio sprüht einmal drauf und murmelt: „Das ist jetzt wieder gut.“ Medizinisch fragwürdig, sportlich wertvoll.
Topstürmer;Während des Spiels / vor oder nach einem Drittel;Angriff erhält +2.;Der Stürmer hat heute diesen Blick. Entweder Hattrick oder rote Karte. Erstmal gibt es +2 Angriff.
Mittelfeld-Star;Während des Spiels / vor oder nach einem Drittel;Mittelfeld erhält +2.;Plötzlich spielt einer Pässe, die sogar der eigene Trainer versteht. Das Mittelfeld bekommt +2.
Beast Mode;Während des Spiels / vor oder nach einem Drittel;Abwehr erhält +2.;Der Innenverteidiger gewinnt Kopfballduelle, Einwürfe und wahrscheinlich auch Steuerprüfungen. Abwehr +2.
